-938, 99, 246
-922, 125, 230
-895, 90, 217
-888, 48, 184
-888, 48, 184
-880, 53, 146
-866, 45, 134
-840, -6, 140
-838, -25, 115
-838, -25, 115
-838, -6, 82
-815, -4, 90
-795, -12, 105
-780, 17, 77
-776, 28, 49
-776, 28, 49
-778, 0, 53
-781, -31, 69
-,-,-
-943, 76, -14
-984, -44, 56
-1024, -102, 80
-1089, -24, 69
-1091, 42, 97
-1060, -16, 176
-1060, -16, 176
-1033, -65, 247
-1004, -63, 275
-1038, -25, 222
-1050, 17, 185
-1040, 28, 222
-1027, 11, 253
-1011, -1, 242
-1004, -17, 243
-998, -14, 251
-998, -14, 251
-1003, 0, 236
-1020, -2, 240
-1048, 18, 268
-1074, 35, 296
-1079, 28, 325
-1080, 44, 317
-1078, 90, 314
-1078, 90, 314
-1094, 98, 330
-1104, 51, 367
-1107, 20, 376
-1101, 53, 368
-1081, 117, 380
-1052, 152, 374
-1048, 134, 372
-1129, 76, 392
-1188, 54, 409
-1188, 54, 409
-1208, 55, 407
-1210, 58, 409
-1260, 24, 398
-1321, -4, 420
-1359, -15, 447
-1350, -15, 438
-1338, -3, 408
-1337, 15, 402
-1337, 15, 402
-1322, 35, 412
-1282, 45, 428
-1251, 50, 420
-1233, 55, 389
-1205, 57, 367
-1167, 38, 351
-1123, 27, 330
-1123, 27, 330
-1078, 33, 289
-1049, 35, 243
-1031, -21, 235
-1036, -61, 222
-1012, -38, 228
-973, 15, 223
-953, 28, 209
-953, 28, 205
-948, 39, 205
-930, 52, 223
-910, 58, 250
-903, 62, 264
-889, 88, 239
-,-,-
-980, -69, 20
-959, -8, -6
-929, -37, 54
-929, -37, 54
-940, -69, 122
-960, -30, 162
-954, 19, 165
-932, 21, 163
-918, 14, 184
-918, 14, 184
-945, 26, 176
-957, 30, 166
-960, 44, 179
-977, 33, 236
-1006, -3, 285
-1006, -3, 285
-1038, 7, 264
-1076, 43, 213
-1092, 47, 214
-1079, 17, 260
-1057, 6, 291
-1044, 5, 278
-1044, 5, 278
-1060, 35, 211
-1056, 75, 189
-1060, 61, 253
-1065, 30, 329
-1044, 22, 397
-1033, 46, 453
-1033, 46, 453
-1075, 46, 478
-1152, -4, 494
-1179, -20, 481
-1166, 8, 461
-1120, 83, 445
-1082, 135, 436
-1108, 106, 418
-1135, 90, 359
-1138, 89, 315
-1138, 89, 315
-1157, 106, 336
-1202, 88, 372
-1266, 70, 389
-1320, 70, 402
-1355, 64, 437
-1376, 47, 487
-1394, 58, 513
-1394, 58, 513
